Idade,Genero,Estado,UF,Regiao,Nivel de Ensino,Area de Formacao,Cargo,Nivel,Faixa Salarial,Tempo de Experiencia,Forma de Trabalho
34.0,Masculino,Minas Gerais,MG,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 16.001/mês a R$ 20.000/mês,de 6 a 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
47.0,Masculino,São Paulo,SP,Sudeste,Mestrado,Ciências Biológicas/Farmácia/Medicina/Área da Saúde,,,de R$ 3.001/mês a R$ 4.000/mês,de 6 a 10 anos,Modelo 100% presencial
28.0,Masculino,Minas Gerais,MG,Sudeste,Mestrado,Economia/ Administração / Contabilidade / Finanças,,,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,Modelo 100% remoto
36.0,Masculino,Minas Gerais,MG,Sudeste,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
39.0,Masculino,Rio de Janeiro,RJ,Sudeste,Não tenho graduação formal,,,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,Modelo 100% remoto
33.0,Masculino,Rio de Janeiro,RJ,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial
45.0,Masculino,São Paulo,SP,Sudeste,Mestrado,Outras Engenharias,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo 100% remoto
29.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias,,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% presencial
37.0,Masculino,Rio de Janeiro,RJ,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,Modelo 100% remoto
31.0,Masculino,Minas Gerais,MG,Sudeste,Não tenho graduação formal,,,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
52.0,Masculino,Piauí,PI,Nordeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,Menos de R$ 1.000/mês,Mais de 10 anos,Modelo 100% remoto
,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Outras Engenharias,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo 100% remoto
38.0,Masculino,São Paulo,SP,Sudeste,Doutorado ou Phd,Química / Física,,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,Modelo 100% remoto
42.0,Masculino,São Paulo,SP,Sudeste,Mestrado,Economia/ Administração / Contabilidade / Finanças,,,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial
28.0,Masculino,Paraná,PR,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,Modelo 100% remoto
38.0,Masculino,São Paulo,SP,Sudeste,Mestrado,Química / Física,,,Acima de R$ 40.001/mês,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial
25.0,Masculino,Minas Gerais,MG,Sudeste,Graduação/Bacharelado,Outras Engenharias,,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% remoto
37.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias,,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% remoto
